股票,代码,买入日,卖出日,盈亏%,卖出价,卖出原因(简化),卖出类型,1月后涨跌%,1月后日期,2月后涨跌%,2月后日期,3月后涨跌%,3月后日期,4月后涨跌%,4月后日期,5月后涨跌%,5月后日期,6月后涨跌%,6月后日期,最佳后续涨跌%
中际旭创,sz.300308,2025-03-24,2025-04-07,-27.0%,75.10,止损(-27.0%),止损,15.4%,2025-05-07,44.5%,2025-06-09,80.0%,2025-07-07,177.6%,2025-08-07,392.7%,2025-09-08,431.0%,2025-10-09,431.0%
万华化学,sh.600309,2025-05-23,2025-09-29,17.6%,65.94,持仓90天到期(盈17.6%),到期,-6.8%,2025-10-28,1.8%,2025-11-28,15.5%,2025-12-29,32.4%,2026-01-28,43.0%,2026-03-02,22.2%,2026-03-30,43.0%
海光信息,sh.688041,2025-05-23,2025-09-04,27.3%,173.28,移动止盈(高210.10回-17.5%),移动止盈,51.8%,2025-10-09,29.1%,2025-11-04,24.7%,2025-12-04,30.4%,2026-01-05,40.8%,2026-02-04,36.2%,2026-03-04,51.8%
立讯精密,sz.002475,2025-05-23,2025-09-29,107.0%,64.80,持仓90天到期(盈107.0%),到期,-0.2%,2025-10-28,-10.8%,2025-11-28,-10.2%,2025-12-29,-17.8%,2026-01-28,-24.2%,2026-03-02,-24.8%,2026-03-30,-0.2%
蓝思科技,sz.300433,2025-05-23,2025-09-29,55.5%,32.60,持仓90天到期(盈55.5%),到期,-9.0%,2025-10-28,-15.6%,2025-11-28,-12.6%,2025-12-29,16.3%,2026-01-28,4.1%,2026-03-02,-13.2%,2026-03-30,16.3%
软通动力,sz.301236,2025-05-23,2025-09-29,2.5%,54.65,持仓90天到期(盈2.5%),到期,-6.3%,2025-10-28,-12.8%,2025-11-28,-11.7%,2025-12-29,-8.5%,2026-01-28,-12.1%,2026-03-02,-31.4%,2026-03-30,-6.3%
恒宝股份,sz.002104,2025-10-17,2025-11-21,-14.1%,17.82,止损(-14.1%),止损,14.8%,2025-12-22,4.5%,2026-01-21,1.3%,2026-02-24,-15.7%,2026-03-23,-16.6%,2026-04-21,-25.6%,2026-05-21,14.8%
光线传媒,sz.300251,2025-10-17,2026-02-24,34.8%,21.78,移动止盈(高27.22回-20.0%),移动止盈,-31.0%,2026-03-24,-31.1%,2026-04-24,-40.6%,2026-05-25,-,-,-,-,-,-,-31.0%
菲利华,sz.300395,2025-10-17,2025-11-04,10.4%,76.36,移动止盈(高89.95回-15.1%),移动止盈,2.6%,2025-12-04,34.3%,2026-01-05,24.7%,2026-02-04,45.1%,2026-03-04,24.3%,2026-04-07,51.9%,2026-05-06,51.9%
长芯博创,sz.300548,2025-10-17,2025-12-16,31.3%,125.65,移动止盈(高148.01回-15.1%),移动止盈,10.1%,2026-01-16,31.8%,2026-02-24,28.1%,2026-03-16,92.0%,2026-04-16,100.5%,2026-05-18,125.5%,2026-06-16,125.5%
长盛轴承,sz.300718,2025-10-17,2026-03-04,-10.2%,73.23,持仓90天到期(盈-10.2%),到期,-5.8%,2026-04-07,-2.5%,2026-05-06,0.8%,2026-06-04,-,-,-,-,-,-,0.8%
天孚通信,sz.300394,2025-11-19,2025-12-16,30.1%,199.30,移动止盈(高240.15回-17.0%),移动止盈,-0.7%,2026-01-16,76.1%,2026-02-24,56.1%,2026-03-16,78.4%,2026-04-16,93.2%,2026-05-18,62.9%,2026-06-16,93.2%
赛力斯,sh.601127,2026-03-03,2026-04-02,-13.0%,89.08,止损(-13.0%),止损,-1.1%,2026-05-06,-7.9%,2026-06-02,-,-,-,-,-,-,-,-,-1.1%
金山办公,sh.688111,2026-03-03,2026-03-20,-12.4%,252.70,止损(-12.4%),止损,-1.2%,2026-04-20,-1.6%,2026-05-20,-10.2%,2026-06-22,-,-,-,-,-,-,-1.2%
长盈精密,sz.300115,2026-03-03,2026-06-10,-13.9%,30.20,止损(-13.9%),止损,-,-,-,-,-,-,-,-,-,-,-,-,-999.0%
中国平安,sh.601318,2026-03-20,2026-05-28,-12.2%,52.47,止损(-12.2%),止损,-,-,-,-,-,-,-,-,-,-,-,-,-999.0%
蓝色光标,sz.300058,2026-03-20,2026-05-26,12.0%,16.25,移动止盈(高19.53回-16.8%),移动止盈,-,-,-,-,-,-,-,-,-,-,-,-,-999.0%
