concept_code,concept_name,trade_date,open,high,low,close,volume,amount
301490,沪股通,2022-11-02,1719.743,1756.928,1717.412,1747.579,16883396000,277927330000.0
301490,沪股通,2022-11-03,1734.539,1753.037,1732.464,1750.324,13393262100,216884320000.0
301490,沪股通,2022-11-04,1750.004,1793.99,1750.004,1788.684,17295543000,276382020000.0
301490,沪股通,2022-11-07,1785.976,1797.101,1777.936,1791.897,16005629000,244202410000.0
301490,沪股通,2022-11-08,1791.399,1791.399,1774.274,1784.23,12251799600,189270160000.0
301490,沪股通,2022-11-09,1784.868,1793.332,1777.89,1778.163,11025062500,168953480000.0
301490,沪股通,2022-11-10,1768.984,1778.453,1763.002,1769.469,12906923000,180607390000.0
301490,沪股通,2022-11-11,1806.55,1815.049,1791.942,1794.14,21201591000,311923620000.0
301490,沪股通,2022-11-14,1799.534,1811.314,1787.06,1792.64,18957320000,283964990000.0
301490,沪股通,2022-11-15,1791.357,1828.197,1787.863,1828.197,16576997000,269033630000.0
301490,沪股通,2022-11-16,1828.584,1835.493,1814.753,1817.906,13863308000,220650350000.0
301490,沪股通,2022-11-17,1812.594,1819.919,1801.984,1819.919,12839279200,214141350000.0
301490,沪股通,2022-11-18,1819.891,1827.885,1809.135,1810.242,13500683000,214414660000.0
301490,沪股通,2022-11-21,1799.379,1808.282,1788.504,1808.282,11505363600,189429520000.0
301490,沪股通,2022-11-22,1806.588,1820.681,1794.134,1800.581,17214169000,211571880000.0
301490,沪股通,2022-11-23,1797.749,1805.838,1781.05,1799.956,17866923000,206503770000.0
301490,沪股通,2022-11-24,1803.353,1808.367,1793.595,1799.539,12930689100,165967930000.0
301490,沪股通,2022-11-25,1796.572,1806.321,1791.106,1800.076,16719706000,190161970000.0
301490,沪股通,2022-11-28,1775.782,1791.865,1766.531,1791.517,15923968000,202600370000.0
301490,沪股通,2022-11-29,1798.558,1829.809,1798.465,1828.792,20794592000,274864600000.0
301490,沪股通,2022-11-30,1825.404,1831.978,1816.747,1825.096,17990244000,234972620000.0
301491,粤港澳大湾区,2022-11-01,1554.59,1589.275,1554.569,1589.275,2239447000,19124507000.0
301491,粤港澳大湾区,2022-11-02,1589.566,1616.441,1588.26,1609.6,2387310500,20683810000.0
301491,粤港澳大湾区,2022-11-03,1600.483,1615.817,1599.471,1610.948,1946432400,17714779000.0
301491,粤港澳大湾区,2022-11-04,1612.873,1638.925,1612.593,1634.88,2573005600,21885946000.0
