code,trade_date,open,high,low,close,volume,amount,turn,pe_ttm
sh.600061,2026-06-29,6.51,6.63,6.45,6.57,50185010,328163147.89,0.7849,12.483464
sh.600061,2026-06-30,6.54,6.66,6.47,6.55,47479139,311357809.84,0.7426,12.445463
sh.600062,2026-06-29,15.6,16.77,15.29,16.67,14839432,240296408.79,1.4293,10.653334
sh.600062,2026-06-30,16.5,16.61,16.0,16.04,9671073,156678434.31,0.9315,10.250719
sh.600063,2026-06-29,7.8,8.38,7.59,7.75,171623850,1362894916.14,8.2946,35.441803
sh.600063,2026-06-30,7.68,7.83,7.41,7.6,144433105,1095260514.4,6.9805,34.755833
sh.600064,2026-06-29,7.26,7.26,7.13,7.24,11572043,83470772.67,0.6688,7.097593
sh.600064,2026-06-30,7.23,7.25,7.07,7.13,13624175,97505783.21,0.7874,6.989757
sh.600066,2026-06-29,26.82,27.96,26.23,26.92,27120488,737053847.86,1.225,10.918245
sh.600066,2026-06-30,26.85,27.63,26.64,26.81,17421765,468719881.09,0.7869,10.873631
sh.600067,2026-06-29,2.96,2.97,2.81,2.88,38903636,111705245.75,2.7955,207.756343
sh.600067,2026-06-30,2.86,2.91,2.76,2.9,28624630,81796046.39,2.0569,209.199095
sh.600071,2026-06-29,17.08,17.33,16.49,16.71,6382630,106967534.24,2.2668,173.00382
sh.600071,2026-06-30,16.6,17.22,16.58,17.13,5109030,86983161.28,1.8145,177.35221
sh.600072,2026-06-29,8.54,8.54,8.27,8.47,24510953,206129561.68,2.2625,-3.881215
sh.600072,2026-06-30,8.47,8.63,8.42,8.49,16886301,143584490.59,1.5587,-3.890379
sh.600073,2026-06-29,4.61,4.78,4.54,4.72,9912712,46464359.22,1.0571,-17.810463
sh.600073,2026-06-30,4.72,4.75,4.63,4.66,5874800,27438693.0,0.6265,-17.584058
sh.600075,2026-06-29,4.04,4.2,3.93,4.14,37072494,150346371.15,2.1708,-71.456079
sh.600075,2026-06-30,4.18,4.22,4.03,4.04,41826582,171068185.9,2.4492,-69.730087
sh.600076,2026-06-29,3.09,3.13,2.89,3.01,42148960,124163948.6,3.1348,-10.350952
sh.600076,2026-06-30,2.98,3.31,2.95,3.31,42826059,137161270.95,3.1852,-11.382609
sh.600078,2026-06-29,14.72,15.3,13.66,14.07,64144733,923934624.2,9.6812,132.303078
sh.600078,2026-06-30,13.83,14.34,13.5,14.21,49824971,698247255.05,7.5199,133.619526
sh.600081,2026-06-29,9.08,9.13,8.81,9.02,3124590,28079469.16,0.565,218.269944
sh.600081,2026-06-30,8.99,9.2,8.97,9.08,2498460,22630547.4,0.4518,219.72185
sh.600085,2026-06-29,22.4,23.88,21.87,23.55,17861215,414177850.12,1.3023,29.951599
sh.600085,2026-06-30,23.46,23.58,22.87,23.11,9611319,221899976.51,0.7008,29.391993
sh.600088,2026-06-29,10.9,11.09,10.63,10.99,7743467,84340059.35,1.947,-531.327976
sh.600088,2026-06-30,10.78,11.08,10.76,10.89,5266000,57314334.6,1.3241,-526.493326
sh.600089,2026-06-29,22.29,22.86,21.98,22.57,117696178,2640227313.83,2.3293,18.487296
sh.600089,2026-06-30,22.3,22.54,22.04,22.5,94414520,2106820753.81,1.8686,18.429959
sh.600094,2026-06-29,3.6,3.61,3.5,3.56,16027462,57102688.96,0.7538,57.366808
sh.600094,2026-06-30,3.51,3.57,3.45,3.46,16442187,57333212.02,0.7733,55.75538
sh.600095,2026-06-29,7.57,7.66,7.42,7.54,25402153,191742343.71,0.8884,49.101196
sh.600095,2026-06-30,7.54,7.65,7.41,7.53,23278680,175448226.37,0.8142,49.036075
sh.600096,2026-06-29,32.13,32.96,31.0,31.96,47691065,1522371117.93,2.6161,11.013415
sh.600096,2026-06-30,31.65,31.65,30.07,30.4,60954663,1860171819.51,3.3437,10.475839
sh.600097,2026-06-29,7.94,8.04,7.62,7.94,3110800,24471428.0,1.2911,74.130198
sh.600097,2026-06-30,7.93,7.99,7.71,7.78,3271300,25556466.0,1.3577,72.63639
sh.600098,2026-06-29,6.03,6.05,5.85,6.02,23739041,141763653.22,0.6771,8.784539
