=== 年度汇总 ===
年份,笔数,胜率%,累计盈亏,平均%,最佳%,最差%
2022,15,60,"16,652",0.7%,9.2%,-17.6%
2023,33,64,"75,695",1.1%,25.1%,-10.1%
2024,37,57,"381,920",4.6%,154.0%,-13.1%
2025,40,82,"460,851",3.5%,15.7%,-2.4%
2026,30,60,"363,386",3.0%,32.5%,-6.6%

=== 交易明细 ===
买入日,卖出日,ETF名称,代码,买入价,卖出价,盈亏%,盈亏额,持天,买入原因,卖出原因
2024-05-13,2024-06-04,创业板50ETF景顺,sz159682,0.766,0.764,-0.3%,-598,22,ETF Alpha(缩量新高 corr=-0.73 | 波动放大1.2x | 距20日高-3.6% | 5日-3.0%),"量价同步(散户涌入 corr=0.59,盈-0.3%)"
2024-05-23,2024-05-27,香港证券ETF易方达,sh513090,1.017,1.013,-0.4%,-916,4,ETF Alpha(缩量新高 corr=-0.33 | 波动放大1.3x | 距20日高-7.4% | 5日-2.4%),"量价同步(散户涌入 corr=0.54,盈-0.4%)"
2024-06-12,2024-07-17,金ETF广发,sh518600,5.199,5.496,5.7%,"13,335",35,ETF Alpha(缩量新高 corr=-0.26 | 波动放大1.2x | 距20日高-5.7% | 5日-1.4%),"量价同步(散户涌入 corr=0.53,盈5.7%)"
2024-06-17,2024-07-11,银行ETF华宝,sh512800,1.207,1.263,4.6%,"10,830",24,ETF Alpha(缩量新高 corr=-0.31 | 波动放大1.2x | 距20日高-6.2% | 5日-2.7%),"量价同步(散户涌入 corr=0.57,盈4.6%)"
2024-06-27,2024-07-31,中证1000ETF易方达,sz159633,1.984,1.999,0.8%,"1,766",34,ETF Alpha(缩量新高 corr=-0.86 | 波动放大1.3x | 距20日高-8.8% | 5日-3.5%),"量价同步(散户涌入 corr=0.61,盈0.8%)"
2024-06-27,2024-07-30,中证1000ETF华夏,sz159845,1.978,1.914,-3.2%,"-7,552",33,ETF Alpha(缩量新高 corr=-0.32 | 波动放大1.2x | 距20日高-9.0% | 5日-3.7%),"量价同步(散户涌入 corr=0.51,盈-3.2%)"
2024-07-02,2024-07-05,中证500ETF南方,sh510500,5.009,4.93,-1.6%,"-3,681",3,ETF Alpha(缩量新高 corr=-0.40 | 波动放大1.3x | 距20日高-6.9% | 5日0.1%),"量价同步(散户涌入 corr=0.58,盈-1.6%)"
2024-07-05,2024-08-14,医药ETF易方达,sh512010,0.325,0.328,0.9%,"2,124",40,ETF Alpha(缩量新高 corr=-0.48 | 波动放大1.2x | 距20日高-8.7% | 5日-0.3%),"量价同步(散户涌入 corr=0.85,盈0.9%)"
2024-07-15,2024-07-23,煤炭ETF国泰,sh515220,1.178,1.124,-4.6%,"-11,194",8,ETF Alpha(缩量新高 corr=-0.60 | 波动放大1.2x | 距20日高-8.8% | 5日-3.5%),"量价同步(散户涌入 corr=0.63,盈-4.6%)"
2024-07-17,2024-08-26,豆粕ETF华夏,sz159985,2.016,1.874,-7.0%,"-17,381",40,ETF Alpha(缩量新高 corr=-0.38 | 波动放大1.5x | 距20日高-8.3% | 5日-3.4%),"量价同步(散户涌入 corr=0.54,盈-7.0%)"
2024-08-02,2024-10-08,沪深300ETF易方达,sh510310,1.686,4.283,154.0%,"356,308",67,ETF Alpha(缩量新高 corr=-0.35 | 波动放大1.8x | 距20日高-4.4% | 5日-0.8%),持仓40天到期(盈154.0%)
2024-08-02,2024-08-16,沪深300ETF华夏,sh510330,3.524,3.487,-1.1%,"-2,427",14,ETF Alpha(缩量新高 corr=-0.29 | 波动放大1.7x | 距20日高-4.4% | 5日-0.7%),"量价同步(散户涌入 corr=0.56,盈-1.0%)"
2024-08-02,2024-08-13,沪深300ETF嘉实,sz159919,3.58,3.526,-1.5%,"-3,488",11,ETF Alpha(缩量新高 corr=-0.37 | 波动放大1.7x | 距20日高-4.5% | 5日-0.9%),"量价同步(散户涌入 corr=0.65,盈-1.5%)"
2024-08-16,2024-09-11,中韩半导体ETF华泰柏瑞,sh513310,1.27,1.104,-13.1%,"-30,013",26,ETF Alpha(缩量新高 corr=-0.50 | 波动放大1.3x | 距20日高-7.4% | 5日5.0%),"量价同步(散户涌入 corr=0.56,盈-13.1%)"
2024-08-16,2024-09-19,亚太精选ETF南方,sz159687,1.25,1.24,-0.8%,"-1,837",34,ETF Alpha(缩量新高 corr=-0.71 | 波动放大1.4x | 距20日高-4.6% | 5日5.4%),"量价同步(散户涌入 corr=0.51,盈-0.8%)"
