趋势跟随策略 交易流水 — 共 388 笔
============================================================================================================================================
买入日        卖出日        代码           名称           买价     卖价     盈亏%   持有天  买入理由  卖出理由
--------------------------------------------------------------------------------------------------------------------------------------------
2023-03-15 2023-04-04 sz.002371    北方华创     272.00 283.33    4.17      趋势跟随(5日12.3% 20日12.0% | 量比1.4x 涨跌量比1.3x | 连涨5天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-03-23 2023-03-28 sz.300458    全志科技      28.52  26.82   -5.96      趋势跟随(5日13.1% 20日16.5% | 量比1.7x 涨跌量比1.4x | 连涨1天 | 市态NEUTRAL)  单日暴跌(-9.0%)
2023-03-24 2023-04-14 sh.603986    兆易创新     117.90 135.41   14.85      趋势跟随(5日10.8% 20日7.5% | 量比1.3x 涨跌量比1.8x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-03-24 2023-04-14 sz.002241    歌尔股份      22.49  23.37    3.91      趋势跟随(5日10.9% 20日5.7% | 量比1.4x 涨跌量比2.1x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-03-28 2023-04-18 sh.600570    恒生电子      49.00  50.01    2.06      趋势跟随(5日12.0% 20日14.2% | 量比1.6x 涨跌量比2.3x | 连涨3天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-04-04 2023-04-25 sz.000333    美的集团      54.63  57.65    5.53      趋势跟随(5日5.5% 20日1.6% | 量比1.5x 涨跌量比1.6x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-04-04 2023-04-18 sz.300059    东方财富      22.70  18.03  -20.57      趋势跟随(5日11.0% 20日9.2% | 量比1.4x 涨跌量比1.1x | 连涨1天 | 市态NEUTRAL)  止损(-20.6%)
2023-04-14 2023-04-26 sz.002117    东港股份      10.01   8.77  -12.39      趋势跟随(5日9.1% 20日10.2% | 量比1.5x 涨跌量比1.6x | 连涨3天 | 市态NEUTRAL)  止损(-12.4%)
2023-04-14 2023-04-20 sz.300287    飞利信        4.47   3.88  -13.20      趋势跟随(5日4.8% 20日10.4% | 量比1.5x 涨跌量比1.3x | 连涨1天 | 市态NEUTRAL)  止损(-13.2%)
2023-04-18 2023-05-11 sh.601669    中国电建       7.76   7.46   -3.87      趋势跟随(5日7.4% 20日0.9% | 量比1.4x 涨跌量比2.1x | 连涨4天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-04-18 2023-04-21 sz.002756    永兴材料      95.26  63.85  -32.97      趋势跟随(5日8.5% 20日7.8% | 量比1.4x 涨跌量比2.0x | 连涨2天 | 市态NEUTRAL)  止损(-33.0%)
2023-04-20 2023-04-26 sz.002792    通宇通讯      17.12  16.88   -1.40      趋势跟随(5日6.7% 20日11.8% | 量比1.4x 涨跌量比1.8x | 连涨2天 | 市态NEUTRAL)  单日暴跌(-10.0%)
2023-04-21 2023-05-04 sz.000651    格力电器      41.02  35.42  -13.65      趋势跟随(5日8.5% 20日12.4% | 量比1.3x 涨跌量比2.0x | 连涨1天 | 市态NEUTRAL)  止损(-13.7%)
2023-04-25 2023-05-18 sh.600150    中国船舶      25.28  29.95   18.47      趋势跟随(5日2.5% 20日5.1% | 量比1.4x 涨跌量比1.6x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-04-26 2023-05-19 sh.601890    亚星锚链       9.88  10.73    8.60      趋势跟随(5日4.3% 20日1.2% | 量比1.5x 涨跌量比1.6x | 连涨4天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-04-26 2023-05-19 sz.300532    今天国际      18.88  20.98   11.12      趋势跟随(5日9.0% 20日7.1% | 量比1.7x 涨跌量比1.6x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-05-04 2023-05-24 sh.600887    伊利股份      29.85  30.00    0.50      趋势跟随(5日5.6% 20日1.2% | 量比1.4x 涨跌量比1.5x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-05-11 2023-05-31 sh.600008    首创环保       3.21   3.07   -4.36      趋势跟随(5日5.3% 20日5.3% | 量比1.4x 涨跌量比1.7x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-05-18 2023-06-07 sh.603660    苏州科达       7.59   7.38   -2.77      趋势跟随(5日19.8% 20日0.1% | 量比1.9x 涨跌量比1.1x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-05-19 2023-06-08 sz.002600    领益智造       6.68   6.23   -6.74      趋势跟随(5日2.7% 20日5.1% | 量比1.6x 涨跌量比1.9x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-05-19 2023-06-08 sz.300403    汉宇集团       7.86   7.36   -6.36      趋势跟随(5日11.4% 20日8.6% | 量比1.7x 涨跌量比1.7x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-05-24 2023-06-13 sz.002773    康弘药业      20.16  18.70   -7.24      趋势跟随(5日10.7% 20日1.3% | 量比1.5x 涨跌量比3.1x | 连涨3天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-05-31 2023-06-20 sh.600699    均胜电子      15.85  18.13   14.38      趋势跟随(5日4.6% 20日2.5% | 量比1.3x 涨跌量比1.4x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-06-07 2023-06-29 sh.603816    顾家家居      37.12  38.15    2.77      趋势跟随(5日6.6% 20日4.0% | 量比1.4x 涨跌量比1.4x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-06-08 2023-06-30 sz.000002    万科A       14.89  14.02   -5.84      趋势跟随(5日2.7% 20日-4.4% | 量比1.4x 涨跌量比1.6x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-06-08 2023-06-20 sz.002015    协鑫能科      14.92  13.10  -12.20      趋势跟随(5日17.7% 20日4.0% | 量比1.5x 涨跌量比1.3x | 连涨1天 | 市态NEUTRAL)  止损(-12.2%)
2023-06-13 2023-07-05 sz.000333    美的集团      56.61  59.12    4.43      趋势跟随(5日6.3% 20日1.3% | 量比1.5x 涨跌量比1.2x | 连涨1天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-06-20 2023-06-26 sh.600570    恒生电子      50.81  45.23  -10.98      趋势跟随(5日13.5% 20日7.5% | 量比1.4x 涨跌量比1.4x | 连涨2天 | 市态NEUTRAL)  单日暴跌(-8.4%)
2023-06-20 2023-07-05 sh.600588    用友网络      23.13  20.23  -12.54      趋势跟随(5日10.8% 20日13.8% | 量比1.3x 涨跌量比1.2x | 连涨2天 | 市态NEUTRAL)  止损(-12.5%)
2023-06-26 2023-07-14 sh.601698    中国卫通      20.51  19.71   -3.90      趋势跟随(5日8.9% 20日14.7% | 量比1.4x 涨跌量比1.9x | 连涨4天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-06-29 2023-07-19 sh.603688    石英股份     113.19 104.68   -7.52      趋势跟随(5日3.4% 20日-1.4% | 量比1.3x 涨跌量比1.5x | 连涨3天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-06-30 2023-07-20 sz.300118    东方日升      25.63  23.94   -6.59      趋势跟随(5日7.6% 20日8.7% | 量比1.4x 涨跌量比1.5x | 连涨4天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-07-05 2023-07-25 sh.600111    北方稀土      26.49  24.12   -8.95      趋势跟随(5日2.3% 20日0.2% | 量比1.3x 涨跌量比1.6x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-07-05 2023-07-25 sz.002487    大金重工      33.14  29.96   -9.60      趋势跟随(5日8.3% 20日-1.4% | 量比1.3x 涨跌量比2.3x | 连涨3天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
2023-07-14 2023-08-03 sh.601012    隆基绿能      30.04  30.85    2.70      趋势跟随(5日10.0% 20日10.5% | 量比1.3x 涨跌量比2.2x | 连涨2天 | 市态NEUTRAL)  持仓14天到期(市态NEUTRAL)
