concept_code,trade_date,open,high,low,close,volume,amount
309068,2026-07-06,1404.243,1408.117,1367.319,1376.763,6684335000,123311669000.0
300351,2026-07-06,1978.67,2041.639,1976.839,1995.578,502071510,4575052700.0
300795,2026-07-06,2276.612,2295.622,2190.967,2204.173,1225614630,43951857000.0
300931,2026-07-06,986.795,990.706,971.426,972.216,4295304000,47966637000.0
300352,2026-07-06,2198.301,2199.765,2131.995,2138.877,2359368900,48004092000.0
308728,2026-07-06,1943.051,1956.431,1910.463,1911.093,8406217800,109326521000.0
300845,2026-07-06,3003.476,3015.056,2955.364,2965.547,1568147000,10794410900.0
300353,2026-07-06,5297.577,5330.635,5169.357,5182.17,4862373900,135932310000.0
302010,2026-07-06,1284.569,1292.055,1261.348,1264.696,8795331400,201866840000.0
302674,2026-07-06,475.755,480.807,472.12,474.939,1285089190,7833984300.0
301121,2026-07-06,6012.94,6038.279,5861.704,5866.583,8028337200,270756100000.0
301229,2026-07-06,1066.334,1073.354,1050.056,1051.626,321620890,2748527100.0
300358,2026-07-06,1602.078,1615.3,1589.826,1591.263,4248727300,60907749000.0
301605,2026-07-06,978.472,985.995,964.793,964.837,3225351500,29017584000.0
301577,2026-07-06,1803.409,1846.397,1769.702,1771.171,5979128300,104210883000.0
309127,2026-07-06,1833.116,1845.669,1829.517,1833.332,4014003100,197448570000.0
308718,2026-07-06,827.775,834.225,826.711,829.843,11044257400,294981320000.0
309062,2026-07-06,1113.344,1120.592,1110.074,1118.063,8484933400,136527650000.0
309125,2026-07-06,3488.633,3497.744,3333.201,3387.648,1740096000,82665435000.0
308901,2026-07-06,1267.813,1278.988,1261.881,1266.495,2519553000,20693698000.0
308992,2026-07-06,1233.595,1242.062,1194.938,1199.267,2873370200,70055886000.0
300858,2026-07-06,1775.818,1810.321,1775.818,1791.415,1369886600,6720691800.0
308862,2026-07-06,976.302,979.991,967.69,970.375,930211320,5197636400.0
300925,2026-07-06,1033.141,1041.968,1017.867,1018.866,2847669100,23701074000.0
308630,2026-07-06,1340.701,1357.393,1330.558,1330.772,2472184600,25415409000.0
300019,2026-07-06,1534.895,1552.017,1521.867,1522.714,2868870600,38722860000.0
302142,2026-07-06,1351.889,1362.359,1325.563,1325.821,648835770,5588042600.0
308300,2026-07-06,2025.233,2027.224,1934.375,1987.499,2505665600,163980740000.0
300722,2026-07-06,5002.503,5020.197,4796.934,4829.871,7312903000,225461690000.0
300806,2026-07-06,2560.53,2590.414,2530.848,2531.288,5913159000,50513409000.0
308791,2026-07-06,2381.482,2389.109,2290.151,2348.791,1678140800,65545486000.0
300378,2026-07-06,3059.344,3063.074,2967.882,2991.118,14891455000,372274670000.0
300889,2026-07-06,3271.005,3278.831,3166.8,3178.318,11984148100,317396090000.0
301286,2026-07-06,3021.016,3022.294,2934.923,2954.856,10327448500,360550730000.0
